RandomEmployee{lastName='HOCHSTETTER', firstName='MERCEDES', hoursWorked=32, rateDouble='9.278868153149268', idNum=1, age=25, sex=female, nickName='MERCEDES', numDependents='4', grossPay='296.9237809007766', overTime='false'}
RandomEmployee{lastName='PEREDO', firstName='BRENDAN', hoursWorked=74, rateDouble='5.72602270906256', idNum=133, age=18, sex=male, nickName='BRENDAN', numDependents='4', grossPay='423.72568047062947', overTime='true'}
RandomEmployee{lastName='BANFIELD', firstName='AUGUSTINE', hoursWorked=62, rateDouble='18.979074460419252', idNum=134, age=59, sex=male, nickName='AUGUSTINE', numDependents='0', grossPay='1176.7026165459936', overTime='true'}
RandomEmployee{lastName='SODERSTROM', firstName='ELI', hoursWorked=69, rateDouble='22.540261261565064', idNum=135, age=18, sex=male, nickName='ELI', numDependents='3', grossPay='1555.2780270479893', overTime='true'}
RandomEmployee{lastName='DUNKER', firstName='DOMINGO', hoursWorked=43, rateDouble='13.418078722492629', idNum=136, age=56, sex=male, nickName='DOMINGO', numDependents='0', grossPay='576.977385067183', overTime='true'}
RandomEmployee{lastName='CONARD', firstName='MARCO', hoursWorked=71, rateDouble='14.222452434488217', idNum=137, age=61, sex=male, nickName='MARCO', numDependents='4', grossPay='1009.7941228486634', overTime='true'}
RandomEmployee{lastName='BUFFKIN', firstName='MAURICIO', hoursWorked=47, rateDouble='11.957020072706424', idNum=138, age=30, sex=male, nickName='MAURICIO', numDependents='3', grossPay='561.979943417202', overTime='true'}
RandomEmployee{lastName='CHESSON', firstName='ARLINE', hoursWorked=51, rateDouble='8.051232578174087', idNum=139, age=38, sex=female, nickName='ARLINE', numDependents='3', grossPay='410.61286148687844', overTime='true'}
RandomEmployee{lastName='LOSEE', firstName='VEDA', hoursWorked=40, rateDouble='4.283007759748141', idNum=140, age=22, sex=female, nickName='VEDA', numDependents='3', grossPay='171.32031038992565', overTime='false'}
RandomEmployee{lastName='TOOP', firstName='COLLEEN', hoursWorked=62, rateDouble='25.422269916368077', idNum=141, age=54, sex=female, nickName='COLLEEN', numDependents='1', grossPay='1576.1807348148207', overTime='true'}
RandomEmployee{lastName='TOLIVER', firstName='TAMI', hoursWorked=63, rateDouble='23.55422646735159', idNum=142, age=23, sex=female, nickName='TAMI', numDependents='1', grossPay='1483.9162674431502', overTime='true'}
RandomEmployee{lastName='BURGETTE', firstName='LAUREL', hoursWorked=36, rateDouble='1.4165032327704266', idNum=143, age=50, sex=female, nickName='LAUREL', numDependents='5', grossPay='50.99411637973536', overTime='false'}
RandomEmployee{lastName='THUNE', firstName='CESAR', hoursWorked=67, rateDouble='17.301040043461086', idNum=144, age=26, sex=male, nickName='CESAR', numDependents='4', grossPay='1159.1696829118928', overTime='true'}
RandomEmployee{lastName='WICKER', firstName='RUSSELL', hoursWorked=71, rateDouble='12.271500718686903', idNum=145, age=64, sex=male, nickName='RUSSELL', numDependents='1', grossPay='871.2765510267701', overTime='true'}
RandomEmployee{lastName='STEPNEY', firstName='ROBIN', hoursWorked=47, rateDouble='18.56839722787461', idNum=146, age=18, sex=female, nickName='ROBIN', numDependents='1', grossPay='872.7146697101066', overTime='true'}
RandomEmployee{lastName='RANDS', firstName='MIGUEL', hoursWorked=68, rateDouble='1.1024694533282355', idNum=147, age=37, sex=male, nickName='MIGUEL', numDependents='5', grossPay='74.96792282632002', overTime='true'}
RandomEmployee{lastName='WIERSEMA', firstName='MYRNA', hoursWorked=59, rateDouble='16.15437318157057', idNum=148, age=54, sex=female, nickName='MYRNA', numDependents='0', grossPay='953.1080177126636', overTime='true'}
RandomEmployee{lastName='LEGATO', firstName='KASEY', hoursWorked=53, rateDouble='17.634481440841554', idNum=149, age=29, sex=male, nickName='KASEY', numDependents='4', grossPay='934.6275163646023', overTime='true'}
RandomEmployee{lastName='SHAUB', firstName='EDWARD', hoursWorked=55, rateDouble='18.13657798255354', idNum=150, age=60, sex=male, nickName='EDWARD', numDependents='1', grossPay='997.5117890404447', overTime='true'}
